,Nom Officiel Département,Code Officiel Commune,Nom Officiel Commune,population,latitude,longitude,is_prefecture,is_sous_prefecture
218,Haute-Garonne,31060,Bélesta-en-Lauragais,110.0,43.45,1.8500061,False,False
219,Haute-Garonne,31067,Bezins-Garraux,43.0,42.95,0.75,False,False
220,Haute-Garonne,31083,Boussan,233.0,43.25,0.8500061,False,False
221,Haute-Garonne,31087,Bragayrac,319.0,43.45,1.050003,False,False
222,Haute-Garonne,31088,Brax,2885.0,43.65,1.25,False,False
223,Haute-Garonne,31181,Le Fauga,2262.0,43.45,1.25,False,False
224,Haute-Garonne,31185,Folcarde,116.0,43.45,1.75,False,False
225,Haute-Garonne,31233,Grépiac,1008.0,43.45,1.449997,False,False
226,Haute-Garonne,31244,Juzet-de-Luchon,375.0,42.85,0.6499939,False,False
227,Charente,16397,Verdille,389.0,45.85,-0.049987793,False,False
228,Charente,16413,Villiers-le-Roux,147.0,46.05,0.1499939,False,False
229,Charente-Maritime,17002,Agudelle,134.0,45.35,-0.4500122,False,False
230,Charente-Maritime,17007,Anais,316.0,46.15,-0.9500122,False,False
231,Charente-Maritime,17034,Barzan,464.0,45.55,-0.8499756,False,False
232,Charente-Maritime,17037,Beauvais-sur-Matha,653.0,45.85,-0.15002441,False,False
233,Charente-Maritime,17107,Ciré-d'Aunis,1538.0,46.05,-0.9500122,False,False
234,Charente-Maritime,17165,Fontenet,392.0,45.95,-0.4500122,False,False
235,Charente-Maritime,17212,Louzignac,171.0,45.85,-0.25,False,False
236,Charente-Maritime,17268,Nuaillé-sur-Boutonne,189.0,46.05,-0.4500122,False,False
237,Charente-Maritime,17274,Périgny,8741.0,46.15,-1.0499878,False,False
238,Charente-Maritime,17313,Saint-Bris-des-Bois,386.0,45.75,-0.4500122,False,False
239,Charente-Maritime,17397,Saint-Savinien,2453.0,45.85,-0.6500244,False,False
240,Charente-Maritime,17451,Les Touches-de-Périgny,544.0,45.95,-0.25,False,False
241,Charente-Maritime,17459,Varaize,558.0,45.95,-0.4500122,False,False
242,Cher,18013,Arpheuilles,299.0,46.75,2.550003,False,False
243,Cher,18043,La Celle-Condé,193.0,46.75,2.149994,False,False
244,Cher,18089,Épineuil-le-Fleuriel,438.0,46.55,2.550003,False,False
245,Cher,18155,Mornay-sur-Allier,422.0,46.85,3.050003,False,False
246,Cher,18159,Nançay,787.0,47.35,2.149994,False,False
247,Cher,18237,Sainte-Thorette,475.0,47.05,2.25,False,False
248,Cher,18248,Senneçay,459.0,46.95,2.449997,False,False
249,Cher,18255,Le Subdray,979.0,47.05,2.350006,False,False
250,Cher,18267,Trouy,4005.0,47.05,2.350006,False,False
251,Corrèze,19040,Champagnac-la-Prune,149.0,45.15,1.949997,False,False
252,Corrèze,19090,Gumond,97.0,45.25,1.949997,False,False
253,Corrèze,19099,Lagleygeolle,223.0,45.05,1.75,False,False
254,Corrèze,19141,Monestier-Merlines,282.0,45.65,2.449997,False,False
255,Corrèze,19167,Confolent-Port-Dieu,41.0,45.55,2.550003,False,False
256,Corrèze,19169,Puy-d'Arnac,292.0,45.05,1.75,False,False
257,Corrèze,19201,Saint-Exupéry-les-Roches,592.0,45.55,2.350006,False,False
258,Corrèze,19204,Saint-Fréjoux,263.0,45.55,2.350006,False,False
259,Alpes-de-Haute-Provence,04206,Sigonce,422.0,44.05,5.850006,False,False
260,Hautes-Alpes,05108,Puy-Saint-Eusèbe,185.0,44.55,6.449997,False,False
261,Alpes-Maritimes,06060,Falicon,2111.0,43.75,7.25,False,False
262,Meuse,55028,Bantheville,106.0,49.35,5.050003,False,False
263,Meuse,55070,Brabant-sur-Meuse,117.0,49.25,5.350006,False,False
264,Meuse,55127,Courcelles-en-Barrois,45.0,48.85,5.449997,False,False
265,Meuse,55141,Dagonville,84.0,48.75,5.350006,False,False
266,Meuse,55183,Étraye,37.0,49.35,5.350006,False,False
267,Meuse,55198,Fresnes-en-Woëvre,663.0,49.05,5.649994,False,False
268,Meuse,55206,Gercourt-et-Drillancourt,115.0,49.25,5.25,False,False
269,Meuse,55257,Jouy-en-Argonne,48.0,49.15,5.25,False,False
270,Meuse,55313,Malancourt,69.0,49.25,5.149994,False,False
271,Meuse,55324,Marville,518.0,49.45,5.449997,False,False
272,Meuse,55404,Pierrefitte-sur-Aire,313.0,48.95,5.350006,False,False
273,Meuse,55522,Ugny-sur-Meuse,110.0,48.65,5.649994,False,False
274,Meuse,55545,Verdun,16689.0,49.15,5.350006,False,True
275,Meuse,55562,Villers-le-Sec,127.0,48.65,5.25,False,False
276,Morbihan,56058,Férel,3404.0,47.45,-2.3499756,False,False
277,Morbihan,56073,Guémené-sur-Scorff,1097.0,48.05,-3.25,False,False
278,Morbihan,56075,Guer,6068.0,47.95,-2.1500244,False,False
279,Morbihan,56100,Langonnet,1771.0,48.15,-3.4500122,False,False
280,Morbihan,56197,Val d'Oust,2790.0,47.85,-2.4500122,False,False
281,Morbihan,56216,Saint-Gorgon,414.0,47.65,-2.25,False,False
282,Morbihan,56221,Saint-Jacut-les-Pins,1734.0,47.65,-2.25,False,False
283,Morbihan,56263,Sainte-Anne-d'Auray,2827.0,47.75,-2.9500122,False,False
284,Moselle,57059,Bellange,55.0,48.95,6.550003,False,False
285,Moselle,57070,Bettange,246.0,49.25,6.449997,False,False
286,Moselle,57073,Betting,861.0,49.15,6.850006,False,False
287,Moselle,57133,Château-Voué,100.0,48.85,6.649994,False,False
288,Moselle,57168,Danne-et-Quatre-Vents,673.0,48.75,7.25,False,False
289,Moselle,57181,Domnom-lès-Dieuze,91.0,48.85,6.850006,False,False
290,Moselle,57211,Fèves,1203.0,49.15,6.149994,False,False
291,Moselle,57236,Frémery,88.0,48.95,6.449997,False,False
292,Moselle,57239,Freybouse,435.0,49.05,6.75,False,False
293,Moselle,57255,Gosselming,569.0,48.75,6.949997,False,False
294,Moselle,57273,Guerstling,376.0,49.35,6.550003,False,False
295,Moselle,57315,Henridorff,707.0,48.75,7.25,False,False
296,Moselle,57339,Hultehouse,364.0,48.75,7.25,False,False
297,Moselle,57360,Kerbach,1215.0,49.15,6.949997,False,False
298,Moselle,57367,Klang,216.0,49.35,6.350006,False,False
299,Moselle,57372,Kuntzig,1362.0,49.35,6.25,False,False
300,Moselle,57377,Landange,244.0,48.65,6.949997,False,False
301,Moselle,57379,Landroff,271.0,48.95,6.649994,False,False
302,Moselle,57383,Languimberg,156.0,48.75,6.850006,False,False
303,Moselle,57403,Liéhon,130.0,48.95,6.25,False,False
304,Moselle,57447,Marly,9971.0,49.05,6.149994,False,False
305,Moselle,57448,Marsal,239.0,48.75,6.649994,False,False
306,Moselle,57467,Mey,309.0,49.15,6.25,False,False
307,Moselle,57512,Nouilly,720.0,49.15,6.25,False,False
308,Moselle,57557,Puttelange-lès-Thionville,1017.0,49.45,6.25,False,False
309,Moselle,57563,Raville,253.0,49.05,6.449997,False,False
310,Moselle,57599,Roupeldange,349.0,49.25,6.449997,False,False
311,Moselle,57726,Vittoncourt,386.0,49.05,6.449997,False,False
312,Moselle,57728,Voimhaut,258.0,49.05,6.449997,False,False
313,Nièvre,58005,Amazy,219.0,47.35,3.550003,False,False
314,Nièvre,58021,Azy-le-Vif,201.0,46.75,3.25,False,False
315,Nièvre,58046,Cercy-la-Tour,1685.0,46.85,3.649994,False,False
316,Nièvre,58049,Chalaux,83.0,47.35,3.949997,False,False
317,Nièvre,58088,Coulanges-lès-Nevers,3693.0,47.05,3.25,False,False
318,Nièvre,58095,Decize,5152.0,46.85,3.449997,False,False
319,Nièvre,58164,Mesves-sur-Loire,657.0,47.25,3.050003,False,False
320,Nièvre,58178,Montigny-sur-Canne,154.0,46.95,3.649994,False,False
321,Nièvre,58237,Saint-Didier,29.0,47.35,3.649994,False,False
322,Nord,59032,Aulnoy-lez-Valenciennes,7183.0,50.35,3.550003,False,False
